name,datetime,tempmax,tempmin,temp,humidity,precip,precipprob,precipcover,preciptype,windgust,windspeed,winddir,sealevelpressure,cloudcover,uvindex,severerisk,sunrise,sunset,conditions,icon
choondacherry,21-03-2002,89.3,78.2,85.8,67.3,0,0,0,,,9.2,276,1010.2,25,,,2002-03-21T06:26:55,2002-03-21T18:33:57,Partially cloudy,partly-cloudy-day
choondacherry,22-03-2002,88.4,80.3,84.2,72.6,0,0,0,,,13.4,310.6,1010,50,,,2002-03-22T06:26:21,2002-03-22T18:33:55,Partially cloudy,partly-cloudy-day
choondacherry,23-03-2002,89.9,80.3,85.3,70.6,0,0,0,,,13.9,304.2,1009.5,43.8,,,2002-03-23T06:25:47,2002-03-23T18:33:54,Partially cloudy,partly-cloudy-day
choondacherry,24-03-2002,90.2,81.2,85.7,69.6,0,0,0,,,11.4,296.4,1008.5,41.7,,,2002-03-24T06:25:12,2002-03-24T18:33:52,Partially cloudy,partly-cloudy-day
choondacherry,25-03-2002,89.7,81.2,85.2,71.9,0.028,100,4.17,rain,,11.4,336.5,1007,61.3,,,2002-03-25T06:24:38,2002-03-25T18:33:50,"Rain, Partially cloudy",rain
choondacherry,26-03-2002,89.9,80.3,85.6,73.5,0,0,0,,,13.9,302.5,1007.2,26.7,,,2002-03-26T06:24:04,2002-03-26T18:33:48,Partially cloudy,partly-cloudy-day
choondacherry,27-03-2002,88.1,83.6,85.6,75.9,0,0,0,,,11.4,276.7,1008.3,66,,,2002-03-27T06:23:29,2002-03-27T18:33:46,Partially cloudy,partly-cloudy-day
choondacherry,28-03-2002,89.7,80.7,84.1,74.8,0,0,0,,,9.2,276.7,1009.5,71.3,,,2002-03-28T06:22:55,2002-03-28T18:33:44,Partially cloudy,partly-cloudy-day
choondacherry,29-03-2002,90.8,79.1,84.3,74.8,0,0,0,,,11.4,297.4,1009.8,58.6,,,2002-03-29T06:22:21,2002-03-29T18:33:42,Partially cloudy,partly-cloudy-day
choondacherry,30-03-2002,91.1,81.8,85.7,73.3,0.039,100,4.17,rain,,11.4,291.3,1010.5,51.3,,,2002-03-30T06:21:46,2002-03-30T18:33:40,"Rain, Partially cloudy",rain
choondacherry,31-03-2002,89.3,79.4,85.4,73,0,0,0,,,11.4,261.2,1010.5,42,,,2002-03-31T06:21:12,2002-03-31T18:33:38,Partially cloudy,partly-cloudy-day
